,City,Confirmed,Country/Region,Deaths,Last Update,Latitude,Longitude,Province/State,Recovered,SheetName,Suspected
0,,67790,China,3075,3/14/2020 06:00,30.9756,112.2707,Hubei,52960,2020-03-14-06-00,0
1,,21157,Italy,1441,3/14/2020 06:00,41.8719,12.5674,,1966,2020-03-14-06-00,0
2,,12729,Iran,611,3/14/2020 06:00,32.4279,53.688,,2959,2020-03-14-06-00,0
3,,8086,"Korea, South",72,3/14/2020 06:00,35.9078,127.7669,,510,2020-03-14-06-00,0
4,,6391,Spain,195,3/14/2020 06:00,40.4637,-3.7492,,517,2020-03-14-06-00,0
5,,4585,Germany,9,3/14/2020 06:00,51.1657,10.4515,,46,2020-03-14-06-00,0
6,,4469,France,91,3/14/2020 06:00,46.2276,2.2137,France,12,2020-03-14-06-00,0
7,,1359,Switzerland,13,3/14/2020 06:00,46.8182,8.2275,,4,2020-03-14-06-00,0
8,,1356,China,8,3/14/2020 06:00,23.3417,113.4244,Guangdong,1299,2020-03-14-06-00,0
9,,1273,China,22,3/14/2020 06:00,33.882,113.614,Henan,1250,2020-03-14-06-00,0
10,,1227,China,1,3/14/2020 06:00,29.1832,120.0934,Zhejiang,1211,2020-03-14-06-00,0
11,,1140,United Kingdom,21,3/14/2020 06:00,55.3781,-3.436,United Kingdom,18,2020-03-14-06-00,0
12,,1090,Norway,3,3/14/2020 06:00,60.472,8.4689,,1,2020-03-14-06-00,0
13,,1018,China,4,3/14/2020 06:00,27.6104,111.7088,Hunan,1014,2020-03-14-06-00,0
14,,990,China,6,3/14/2020 06:00,31.8257,117.2264,Anhui,984,2020-03-14-06-00,0
15,,961,Sweden,2,3/14/2020 06:00,60.1282,18.6435,,1,2020-03-14-06-00,0
16,,959,Netherlands,12,3/14/2020 06:00,52.1326,5.2913,,2,2020-03-14-06-00,0
17,,935,China,1,3/14/2020 06:00,27.614,115.7221,Jiangxi,934,2020-03-14-06-00,0
18,,827,Denmark,1,3/14/2020 06:00,56.2639,9.5018,Denmark,1,2020-03-14-06-00,0
19,,773,Japan,22,3/14/2020 06:00,36.2048,138.2529,,118,2020-03-14-06-00,0
20,,760,China,7,3/14/2020 06:00,36.3427,118.1498,Shandong,741,2020-03-14-06-00,0
21,,696,Cruise Ship,7,3/14/2020 06:00,35.4498,139.6649,Diamond Princess,325,2020-03-14-06-00,0
22,,689,Belgium,4,3/14/2020 06:00,50.5039,4.4699,,1,2020-03-14-06-00,0
23,,655,Austria,1,3/14/2020 06:00,47.5162,14.5501,,6,2020-03-14-06-00,0
24,,631,China,0,3/14/2020 06:00,32.9711,119.455,Jiangsu,630,2020-03-14-06-00,0
25,,576,China,6,3/14/2020 06:00,30.0572,107.874,Chongqing,569,2020-03-14-06-00,0
26,,572,US,37,3/14/2020 06:00,47.4009,-121.4905,Washington,1,2020-03-14-06-00,0
27,,539,China,3,3/14/2020 06:00,30.6171,102.7103,Sichuan,511,2020-03-14-06-00,0
28,,525,US,2,3/14/2020 06:00,42.1657,-74.9481,New York,0,2020-03-14-06-00,0
